ClothID,Age,Review Title,Customer Rating,Positive Review Count,Section,Department,Category,Online Time,Cost,Recommended IND
892.0,39,So soft and figure-flattering,5,0,General,Tops,Fine gauge,10.76120366462436,38.46810848421382,1
867.0,28,"Great shirt, but don't expect it to last",3,0,General Petite,Tops,Knits,3.5937125828672483,47.80342951552357,1
997.0,49,Beautiful!,5,0,General Petite,Bottoms,Skirts,5.445432129450735,52.32264129906318,1
1077.0,26,So much better in person,5,5,General,Dresses,Dresses,4.960395048567458,73.03712399613934,1
1033.0,35,Nope!,2,0,General,Bottoms,Jeans,21.308399722048907,51.940232446848746,0
984.0,38,"On me, not flattering",3,14,General,Jackets,Jackets,4.6682635554625085,173.31182019649944,1
868.0,67,Pretty but.....,3,16,General,Tops,Knits,9.403285243368254,106.50637168694368,1
1078.0,36,Good fall dress,3,0,General Petite,Dresses,Dresses,6.851973278740138,149.16663413930632,0
839.0,48,Short top,4,2,General,Tops,Blouses,8.304467916993037,27.24856881028652,1
1086.0,51,Simple classic,4,10,General,Dresses,Dresses,4.9526850553364685,102.11300016948552,1
939.0,43,Classic retailer,5,14,General,Tops,Sweaters,11.673833005014147,93.7170200296746,1
862.0,48,Versatile piece,5,0,General,Tops,Knits,10.878359900281175,44.3355646407197,1
975.0,50,A no-brainer,5,4,General Petite,Jackets,Jackets,10.165173795003849,137.56604105581064,1
907.0,33,Great little sweater!,5,0,General,Tops,Fine gauge,10.014607279219726,42.129466234028335,1
860.0,52,New staple,5,0,General,Tops,Knits,6.0961982526833935,61.51168729293882,1
920.0,37,Love love love this too!,5,1,General,Tops,Fine gauge,10.782298605395178,54.91283182330322,1
375.0,49,Puts me right in the mood for spring!,5,12,Intimates,Intimates,Lounge,2.5284798777940383,97.38288136197596,1
1078.0,74,Bloomsbury,4,0,General,Dresses,Dresses,7.471448040628682,55.74697289950282,1
1009.0,40,Darker colors then pictures,3,0,General,Bottoms,Skirts,4.532849819381324,66.78385538580565,1
939.0,37,Flattering warmth,5,0,General Petite,Tops,Sweaters,4.20990022985209,57.79839055427996,1
1081.0,61,Let the sun shine,5,0,General,Dresses,Dresses,4.488150410294127,147.83049010742104,1
830.0,56,Adorable,4,3,General,Tops,Blouses,11.858295892086332,57.36487145143864,1
1080.0,33,Gorgeous!,5,0,General,Dresses,Dresses,10.228881778935246,78.260740045345,1
1020.0,31,Great skirt,5,0,General,Bottoms,Skirts,7.870203143886595,52.8048491949531,1
1033.0,55,Fun jeans!,5,0,General,Bottoms,Jeans,9.297082954165608,74.2677512865915,1
1081.0,53,Comfortable summer dress,5,4,General,Dresses,Dresses,6.672807716680543,95.18713322553492,1
862.0,21,Runs very large,4,0,General,Tops,Knits,13.471080029279875,86.2463821559614,1
1074.0,33,Had high hopes!,4,8,General,Dresses,Dresses,4.2213671384335205,134.9403512685417,0
868.0,28,Beautiful design but too big,3,0,General,Tops,Knits,10.289357399828829,42.17918585380262,1
863.0,48,"Cute, fun top",5,0,General,Tops,Knits,11.012948342351578,87.43732163980695,1
1022.0,35,Perfect high rise jeans,5,1,General,Bottoms,Jeans,8.745000812179436,79.58258522382887,1
829.0,20,Bee-utiful,5,6,General,Tops,Blouses,8.754241752813947,34.02360365149017,1
1083.0,31,An absolute hit - if you buy the right print,4,2,General Petite,Dresses,Dresses,7.145278779865222,141.4526484211733,1
1150.0,58,Love the dres,3,16,General,Dresses,Dresses,10.722859119222422,81.91871966362432,1
872.0,30,Middle seam off,4,3,General,Tops,Knits,5.160977831621972,65.38160972255916,0
850.0,39,Stiff and sturdy,4,0,General,Tops,Blouses,8.83294894476757,74.6512103898197,1
872.0,33,High hopes that were dashed...,2,26,General Petite,Tops,Knits,29.32991161419485,81.15035214676423,0
854.0,48,Beautiful top,5,1,General,Tops,Knits,13.674033889171572,55.29768282295779,1
135.0,35,Great summer shorts,5,0,General Petite,Bottoms,Pants,10.624750214987316,41.37039609071508,1
895.0,73,Loving it!,5,0,General,Tops,Fine gauge,9.94306241066664,46.313730011819466,1
1080.0,34,Great maxi,5,0,General,Dresses,Dresses,3.6678937945305368,99.05473392382676,1
872.0,51,Love this sweater,5,0,General,Tops,Knits,5.880420885994754,70.85336692429959,1
867.0,48,Super cute!,5,0,General Petite,Tops,Knits,7.704096629320105,82.64909065467069,1
1110.0,41,Cute but not for anyone bigger than a b cup,3,30,General,Dresses,Dresses,12.786440743989992,121.38285533190836,0
1081.0,35,"Wasn't for me, but was soft",4,2,General Petite,Dresses,Dresses,11.76393764610351,91.7316244900642,0
866.0,57,Classic!,4,2,General,Tops,Knits,3.798421909080596,104.31814201431222,1
1078.0,45,Nice styling but shapeless,1,1,General Petite,Dresses,Dresses,22.50276633460263,139.9279609863832,0
1072.0,54,Bare shouldered babe!,5,0,General,Dresses,Dresses,2.3275050950693585,146.2151798771675,1
863.0,44,Very soft and flattering,4,0,General Petite,Tops,Knits,6.459829957850442,109.14104294342954,1
1078.0,49,Tent-like but cozy,3,4,General Petite,Dresses,Dresses,11.837508973991405,101.4037301341367,0
877.0,49,Pretty but not super-soft,4,2,General Petite,Tops,Knits,8.835268242640574,35.44208833922842,1
1081.0,51,Romantic,5,8,General Petite,Dresses,Dresses,9.071593090094687,74.96434729180481,1
1072.0,36,Pretty dress but oddly cut in the middle,4,6,General,Dresses,Dresses,14.679034361592509,96.23354527822556,0
967.0,60,So cute and warm!!,5,0,General,Jackets,Jackets,12.1570739693396,169.26543878114694,1
835.0,38,Had me at first glance,3,9,General,Tops,Blouses,9.045512941616796,74.71908729811321,1
1059.0,55,A new staple!,5,11,General Petite,Bottoms,Pants,11.539945919117612,93.62944747847772,1
1095.0,31,Perfect summer dress,5,0,General,Dresses,Dresses,12.464628578345678,54.16979927271613,1
872.0,21,"Not true to size, but beautiful",5,0,General,Tops,Knits,4.721412153990285,46.16830843961103,1
1110.0,35,Excellent dress,5,0,General Petite,Dresses,Dresses,13.025550123756226,123.60480732779024,1
397.0,32,Great leggings!,5,1,Intimates,Intimates,Lounge,9.348937844919828,137.60996693334585,1
828.0,37,So soft!,5,2,General Petite,Tops,Blouses,3.2321161444977555,48.741222564317226,1
829.0,48,Love it!,5,0,General,Tops,Blouses,10.973990921435616,20.906827756137,1
883.0,44,Not too bad..,3,5,General,Tops,Knits,18.488418479528168,90.45399695227036,0
611.0,39,Amazing,5,0,General Petite,Bottoms,Pants,2.6923767065205366,72.16157749634033,1
844.0,52,"Exquisite blouse, runs huge",5,1,General Petite,Tops,Blouses,13.466141167836964,31.28503650727769,1
1081.0,47,"Love this dress. if they make more, i'll buy more",5,0,General,Dresses,Dresses,4.976652642371949,71.02952290296061,1
873.0,34,Great tank just not for me,3,0,General,Tops,Knits,11.770610932695098,105.0264055523172,1
1077.0,54,Cute but thin,3,0,General Petite,Dresses,Dresses,11.933248050256742,106.43693458755467,1
881.0,48,Disappointing,1,21,General,Tops,Knits,45.765664868416565,91.82291973886488,0
482.0,64,Great summer dress,5,9,Intimates,Intimates,Lounge,12.777792892769096,91.8940553530968,1
850.0,42,Cute blouse,4,0,General Petite,Tops,Blouses,13.774683522111731,75.89941714557898,1
1056.0,60,So cute!,4,0,General,Bottoms,Pants,3.1744232001164514,87.06787571432237,1
1033.0,64,Love these jeans,5,1,General Petite,Bottoms,Jeans,10.572501403380766,54.768853076174096,1
1022.0,30,Must get,5,0,General,Bottoms,Jeans,6.956645653481232,134.773773806159,1
936.0,42,Cute!,5,0,General Petite,Tops,Sweaters,8.178854052486411,62.18773267638995,1
875.0,39,Scratchy and prickly,2,1,General,Tops,Knits,17.294521357460972,40.87311792643322,0
898.0,44,Bohemian *light*,4,0,General Petite,Tops,Fine gauge,6.993658236895449,27.77086248672053,1
1051.0,30,Not for me,4,0,General Petite,Bottoms,Pants,2.820543285931852,53.53436186213069,1
886.0,46,"Didn't fit well for me, but well-made",3,0,General,Tops,Knits,8.731900200256307,75.34653681690371,0
872.0,55,Well made,4,0,General,Tops,Knits,6.680563276966267,60.35398350506004,1
1070.0,22,Amazing!!,5,1,General Petite,Bottoms,Pants,4.440578843224798,65.11053356855584,1
886.0,42,Great color!,5,0,General Petite,Tops,Knits,12.0237196330915,98.60926939031894,1
959.0,38,Debating if i should keep it,4,2,General,Jackets,Jackets,13.362136089927528,81.95078760329079,1
